scaler,lambdas,mean_R2,std_R2,mean_RMSE,std_RMSE
zscore,"(1.0, -0.5, 1.0, 0.5, 1.0)",0.6649157203995447,0.09631521265603477,270111.99459505646,44545.27298123514
minmax,"(1.0, -0.5, 1.0, 0.5, 1.0)",0.6649157203995445,0.09631521265603457,270111.9945950566,44545.27298123505
robust,"(1.0, -0.5, 1.0, 0.5, 1.0)",0.6649157203995442,0.09631521265603514,270111.9945950567,44545.27298123526
minmax,"(0.0, 0.0, 1.0, 0.0, 1.0)",0.6645433661506968,0.10503293001549195,269781.1908504499,47954.86726096073
zscore,"(0.0, 0.0, 1.0, 0.0, 1.0)",0.6645433661506966,0.10503293001549158,269781.19085044996,47954.86726096058
robust,"(0.0, 0.0, 1.0, 0.0, 1.0)",0.6645433661506966,0.10503293001549191,269781.19085044996,47954.8672609607
zscore,"(1.0, -0.5, 1.0, -0.5, 1.0)",0.6645376400699985,0.09418580089739151,270373.10664506635,43699.306768187846
robust,"(1.0, -0.5, 1.0, -0.5, 1.0)",0.664537640069998,0.09418580089739158,270373.10664506647,43699.30676818785
minmax,"(1.0, -0.5, 1.0, -0.5, 1.0)",0.6645376400699978,0.09418580089739191,270373.1066450666,43699.30676818797
minmax,"(0.0, 0.0, 1.0, -0.5, 1.0)",0.6644758808529575,0.1042541498622068,269845.03814097506,47647.21406413951
zscore,"(0.0, 0.0, 1.0, -0.5, 1.0)",0.6644758808529571,0.10425414986220696,269845.03814097523,47647.21406413955
robust,"(0.0, 0.0, 1.0, -0.5, 1.0)",0.6644758808529571,0.10425414986220673,269845.0381409752,47647.21406413946
minmax,"(0.5, -0.5, 1.0, 1.0, 1.0)",0.664132756075543,0.10120819090894054,270134.35997815616,46433.319131247394
robust,"(0.5, -0.5, 1.0, 1.0, 1.0)",0.6641327560755428,0.10120819090894037,270134.3599781562,46433.319131247285
zscore,"(0.5, -0.5, 1.0, 1.0, 1.0)",0.6641327560755426,0.10120819090894141,270134.3599781563,46433.319131247714
minmax,"(0.5, -0.5, 1.0, 0.5, 1.0)",0.6641227793360402,0.10010167966385236,270204.65558325377,45993.32409591779
zscore,"(0.5, -0.5, 1.0, 0.5, 1.0)",0.6641227793360399,0.100101679663853,270204.65558325395,45993.32409591803
robust,"(0.5, -0.5, 1.0, 0.5, 1.0)",0.6641227793360399,0.10010167966385299,270204.6555832539,45993.324095918026
minmax,"(1.0, 0.0, 1.0, -1.0, 1.0)",0.6640846094588292,0.10875398976362326,269885.6777161902,49344.66330656766
robust,"(1.0, 0.0, 1.0, -1.0, 1.0)",0.6640846094588283,0.10875398976362348,269885.6777161905,49344.663306567665
zscore,"(1.0, 0.0, 1.0, -1.0, 1.0)",0.6640846094588283,0.10875398976362373,269885.67771619064,49344.66330656779
zscore,"(1.0, -0.5, 1.0, 1.0, 1.0)",0.6638225721744395,0.09809016115920964,270476.63102698146,45186.4484012243
robust,"(1.0, -0.5, 1.0, 1.0, 1.0)",0.6638225721744394,0.0980901611592095,270476.63102698146,45186.44840122422
minmax,"(1.0, -0.5, 1.0, 1.0, 1.0)",0.6638225721744393,0.09809016115920964,270476.6310269816,45186.44840122427
zscore,"(0.0, 0.0, 1.0, 0.5, 1.0)",0.6636980744283415,0.10649784949325286,270060.53410136834,48485.63680243913
minmax,"(0.0, 0.0, 1.0, 0.5, 1.0)",0.6636980744283415,0.10649784949325294,270060.53410136834,48485.636802439185
robust,"(0.0, 0.0, 1.0, 0.5, 1.0)",0.6636980744283414,0.10649784949325283,270060.5341013684,48485.636802439105
robust,"(1.0, 0.0, 1.0, -0.5, 1.0)",0.6633261842366193,0.11001153796080018,270138.9303827479,49791.39468929583
zscore,"(1.0, 0.0, 1.0, -0.5, 1.0)",0.663326184236619,0.11001153796080035,270138.93038274796,49791.39468929589
minmax,"(1.0, 0.0, 1.0, -0.5, 1.0)",0.663326184236619,0.1100115379608002,270138.93038274796,49791.394689295805
minmax,"(0.0, 0.0, 1.0, -1.0, 1.0)",0.6632769975598082,0.10436969929196069,270331.98862892337,47635.266959790875
robust,"(0.0, 0.0, 1.0, -1.0, 1.0)",0.6632769975598073,0.10436969929196042,270331.9886289238,47635.266959790766
zscore,"(0.0, 0.0, 1.0, -1.0, 1.0)",0.6632769975598071,0.10436969929196072,270331.98862892383,47635.26695979089
minmax,"(0.5, -0.5, 1.0, 0.0, 1.0)",0.6631711644021095,0.09962952022548743,270632.8189312312,45759.606636988865
robust,"(0.5, -0.5, 1.0, 0.0, 1.0)",0.6631711644021093,0.09962952022548781,270632.81893123133,45759.606636989025
zscore,"(0.5, -0.5, 1.0, 0.0, 1.0)",0.6631711644021093,0.0996295202254881,270632.81893123133,45759.60663698913
robust,"(1.0, -0.5, 1.0, -1.0, 1.0)",0.6628284284146958,0.09402118526864105,271086.65949763637,43558.01167640338
minmax,"(1.0, -0.5, 1.0, -1.0, 1.0)",0.6628284284146958,0.09402118526864121,271086.65949763637,43558.011676403476
zscore,"(1.0, -0.5, 1.0, -1.0, 1.0)",0.6628284284146957,0.09402118526864121,271086.6594976364,43558.01167640346
minmax,"(0.0, 0.0, 1.0, 1.0, 1.0)",0.662142715307925,0.10843953698178979,270608.41230684245,49165.223704804666
zscore,"(0.0, 0.0, 1.0, 1.0, 1.0)",0.6621427153079247,0.10843953698178979,270608.41230684257,49165.223704804645
robust,"(0.0, 0.0, 1.0, 1.0, 1.0)",0.6621427153079247,0.1084395369817899,270608.41230684257,49165.22370480469
minmax,"(1.0, 0.0, 1.0, 0.0, 1.0)",0.6619080769670761,0.11165647688889369,270642.3282024497,50352.427945856725
robust,"(1.0, 0.0, 1.0, 0.0, 1.0)",0.661908076967076,0.11165647688889373,270642.3282024497,50352.427945856754
zscore,"(1.0, 0.0, 1.0, 0.0, 1.0)",0.6619080769670759,0.11165647688889416,270642.3282024498,50352.427945856914
zscore,"(0.5, 0.5, 1.0, 1.0, 1.0)",0.6612167296151841,0.083618568693022,272163.2860412281,39415.18081473996
minmax,"(0.5, 0.5, 1.0, 1.0, 1.0)",0.661216729615184,0.08361856869302209,272163.28604122816,39415.180814739964
robust,"(0.5, 0.5, 1.0, 1.0, 1.0)",0.6612167296151839,0.08361856869302219,272163.2860412282,39415.18081474002
minmax,"(0.5, -0.5, 1.0, -0.5, 1.0)",0.6611515547265071,0.09991977563428886,271462.77579262777,45775.631171999885
zscore,"(0.5, -0.5, 1.0, -0.5, 1.0)",0.6611515547265067,0.09991977563428933,271462.7757926279,45775.63117200005
robust,"(0.5, -0.5, 1.0, -0.5, 1.0)",0.6611515547265066,0.09991977563428975,271462.77579262794,45775.63117200021
robust,"(0.5, 0.5, 1.0, 0.5, 1.0)",0.6602563046244526,0.08399901454372072,272547.95263282134,39532.70075161161
zscore,"(0.5, 0.5, 1.0, 0.5, 1.0)",0.6602563046244526,0.08399901454372068,272547.95263282134,39532.700751611585
minmax,"(0.5, 0.5, 1.0, 0.5, 1.0)",0.6602563046244524,0.08399901454372065,272547.9526328214,39532.700751611555
zscore,"(1.0, 0.0, 1.0, 0.5, 1.0)",0.6600094950912703,0.11353108093854049,271328.8413940502,50975.27084541735
robust,"(1.0, 0.0, 1.0, 0.5, 1.0)",0.6600094950912702,0.11353108093854074,271328.8413940502,50975.27084541744
minmax,"(1.0, 0.0, 1.0, 0.5, 1.0)",0.66000949509127,0.11353108093854065,271328.8413940503,50975.27084541741
minmax,"(0.5, 0.0, 0.5, -1.0, 1.0)",0.6593590463171157,0.10626769393325837,271993.1119567946,48147.60972060522
zscore,"(0.5, 0.0, 0.5, -1.0, 1.0)",0.6593590463171147,0.10626769393325831,271993.1119567949,48147.60972060517
robust,"(0.5, 0.0, 0.5, -1.0, 1.0)",0.6593590463171147,0.1062676939332588,271993.111956795,48147.60972060531
zscore,"(0.5, 0.0, 0.5, -0.5, 1.0)",0.6591926578908136,0.10696451993407106,272028.17970662704,48407.15450700536
robust,"(0.5, 0.0, 0.5, -0.5, 1.0)",0.6591926578908136,0.10696451993407134,272028.17970662704,48407.15450700548
minmax,"(0.5, 0.0, 0.5, -0.5, 1.0)",0.6591926578908132,0.1069645199340715,272028.1797066272,48407.15450700555
minmax,"(0.5, 0.5, 1.0, 0.0, 1.0)",0.6591159295879229,0.08456251999717,272999.0339578592,39714.68713717937
zscore,"(0.5, 0.5, 1.0, 0.0, 1.0)",0.6591159295879226,0.08456251999717,272999.0339578592,39714.68713717936
robust,"(0.5, 0.5, 1.0, 0.0, 1.0)",0.6591159295879226,0.08456251999717028,272999.0339578592,39714.6871371795
robust,"(0.5, 0.0, 0.5, 0.0, 1.0)",0.6584569889856834,0.10799284837775977,272278.334069458,48764.785465212764
minmax,"(0.5, 0.0, 0.5, 0.0, 1.0)",0.6584569889856832,0.10799284837776002,272278.33406945807,48764.78546521286
zscore,"(0.5, 0.0, 0.5, 0.0, 1.0)",0.6584569889856827,0.10799284837776003,272278.33406945824,48764.78546521285
zscore,"(0.5, -0.5, 1.0, -1.0, 1.0)",0.6579310489186685,0.10109494971761028,272738.73234969197,46080.458139998394
minmax,"(0.5, -0.5, 1.0, -1.0, 1.0)",0.6579310489186685,0.10109494971761006,272738.73234969197,46080.4581399983
robust,"(0.5, -0.5, 1.0, -1.0, 1.0)",0.6579310489186684,0.10109494971761064,272738.73234969197,46080.45813999853
zscore,"(1.0, 0.0, 1.0, 1.0, 1.0)",0.6577693819294325,0.11551327742843857,272146.5860290015,51619.66352508351
minmax,"(1.0, 0.0, 1.0, 1.0, 1.0)",0.6577693819294322,0.1155132774284384,272146.5860290017,51619.66352508342
robust,"(1.0, 0.0, 1.0, 1.0, 1.0)",0.6577693819294322,0.11551327742843855,272146.5860290016,51619.66352508345
robust,"(0.5, 0.5, 1.0, -0.5, 1.0)",0.6577473440725545,0.08540052110374029,273532.07188801095,39993.8219854425
zscore,"(0.5, 0.5, 1.0, -0.5, 1.0)",0.6577473440725544,0.08540052110374033,273532.071888011,39993.82198544254
minmax,"(0.5, 0.5, 1.0, -0.5, 1.0)",0.6577473440725544,0.08540052110374043,273532.071888011,39993.82198544253
robust,"(0.5, 0.0, 0.5, 0.5, 1.0)",0.6572643199225163,0.1092764773111772,272700.9895782012,49196.84253583357
minmax,"(0.5, 0.0, 0.5, 0.5, 1.0)",0.6572643199225162,0.1092764773111775,272700.9895782012,49196.84253583368
zscore,"(0.5, 0.0, 0.5, 0.5, 1.0)",0.657264319922516,0.10927647731117729,272700.98957820126,49196.842535833595
minmax,"(0.0, 0.5, 1.0, 0.5, 1.0)",0.657244284297466,0.09205298510628798,273366.2761145485,42508.84830237429
robust,"(0.0, 0.5, 1.0, 0.5, 1.0)",0.6572442842974657,0.09205298510628795,273366.2761145486,42508.848302374245
zscore,"(0.0, 0.5, 1.0, 0.5, 1.0)",0.6572442842974656,0.09205298510628836,273366.2761145486,42508.84830237441
minmax,"(0.0, 0.5, 1.0, 1.0, 1.0)",0.6570857479359445,0.09240602046136845,273418.33133622113,42641.39128087612
robust,"(0.0, 0.5, 1.0, 1.0, 1.0)",0.6570857479359444,0.0924060204613687,273418.33133622125,42641.39128087622
zscore,"(0.0, 0.5, 1.0, 1.0, 1.0)",0.6570857479359442,0.09240602046136842,273418.3313362213,42641.3912808761
zscore,"(0.0, 0.5, 1.0, 0.0, 1.0)",0.6569834844520033,0.09205603411581062,273472.0702047358,42498.4112990288
minmax,"(0.0, 0.5, 1.0, 0.0, 1.0)",0.6569834844520032,0.09205603411581045,273472.0702047358,42498.41129902877
robust,"(0.0, 0.5, 1.0, 0.0, 1.0)",0.6569834844520029,0.09205603411581066,273472.0702047359,42498.41129902882
robust,"(0.5, 0.0, 1.0, -0.5, 0.5)",0.6563045739931113,0.11180015597102033,272894.8131236551,50141.60745218155
zscore,"(0.5, 0.0, 1.0, -0.5, 0.5)",0.6563045739931109,0.1118001559710202,272894.8131236553,50141.607452181524
minmax,"(0.5, 0.0, 1.0, -0.5, 0.5)",0.6563045739931109,0.11180015597102061,272894.8131236553,50141.60745218168
robust,"(0.5, 0.0, 1.0, 0.0, 0.5)",0.6562253724374929,0.11266416877189384,272890.03760596976,50466.31863197708
minmax,"(0.5, 0.0, 1.0, 0.0, 0.5)",0.656225372437492,0.11266416877189467,272890.0376059701,50466.3186319774
zscore,"(0.5, 0.0, 1.0, 0.0, 0.5)",0.6562253724374917,0.1126641687718948,272890.0376059702,50466.3186319774
zscore,"(0.0, 0.5, 1.0, -0.5, 1.0)",0.6561504821909229,0.0926202647095817,273789.3875304841,42684.07484034524
minmax,"(0.0, 0.5, 1.0, -0.5, 1.0)",0.6561504821909228,0.09262026470958189,273789.3875304842,42684.07484034529
robust,"(0.0, 0.5, 1.0, -0.5, 1.0)",0.6561504821909226,0.09262026470958183,273789.3875304842,42684.07484034527
minmax,"(0.5, 0.5, 1.0, -1.0, 1.0)",0.6560885997890277,0.0866038683327189,274167.85397985275,40401.36330051985
zscore,"(0.5, 0.5, 1.0, -1.0, 1.0)",0.6560885997890274,0.08660386833271817,274167.8539798529,40401.36330051957
robust,"(0.5, 0.5, 1.0, -1.0, 1.0)",0.6560885997890272,0.08660386833271852,274167.8539798529,40401.3633005197
minmax,"(0.5, -0.5, 0.5, 0.5, 1.0)",0.656049031934763,0.08727288985468784,274152.19157342333,40652.00711615449
robust,"(0.5, -0.5, 0.5, 0.5, 1.0)",0.656049031934763,0.08727288985468779,274152.19157342333,40652.00711615448
zscore,"(0.5, -0.5, 0.5, 0.5, 1.0)",0.656049031934763,0.08727288985468805,274152.1915734234,40652.007116154564
robust,"(0.0, 0.0, 0.5, -0.5, 1.0)",0.6557504674208013,0.10037718043579519,273711.1105621239,45699.858788486614
minmax,"(0.0, 0.0, 0.5, -0.5, 1.0)",0.6557504674208011,0.10037718043579517,273711.1105621239,45699.85878848662
zscore,"(0.0, 0.0, 0.5, -0.5, 1.0)",0.6557504674208009,0.10037718043579513,273711.110562124,45699.858788486614
robust,"(0.0, 0.0, 0.5, 0.0, 1.0)",0.655709686877639,0.10146461190908257,273678.1780615937,46117.393207948044
zscore,"(0.0, 0.0, 0.5, 0.0, 1.0)",0.655709686877639,0.10146461190908249,273678.1780615936,46117.39320794802
minmax,"(0.0, 0.0, 0.5, 0.0, 1.0)",0.655709686877639,0.10146461190908271,273678.1780615937,46117.39320794811
robust,"(0.5, 0.0, 0.5, 1.0, 1.0)",0.6557018269851169,0.11075073579593003,273263.19491021446,49682.905297312995
minmax,"(0.5, 0.0, 0.5, 1.0, 1.0)",0.6557018269851169,0.11075073579592966,273263.19491021446,49682.90529731286
zscore,"(0.5, 0.0, 0.5, 1.0, 1.0)",0.6557018269851167,0.11075073579592966,273263.19491021446,49682.905297312835
minmax,"(0.5, -0.5, 0.5, 1.0, 1.0)",0.6557000169394875,0.08919226031063592,274207.3876334241,41370.45249497741
robust,"(0.5, -0.5, 0.5, 1.0, 1.0)",0.6557000169394874,0.08919226031063637,274207.38763342414,41370.45249497756
zscore,"(0.5, -0.5, 0.5, 1.0, 1.0)",0.6557000169394873,0.0891922603106362,274207.3876334242,41370.45249497753
robust,"(0.5, -0.5, 0.5, 0.0, 1.0)",0.6556347796180927,0.08589917923808131,274382.76648878644,40114.66893198106
minmax,"(0.5, -0.5, 0.5, 0.0, 1.0)",0.6556347796180927,0.08589917923808102,274382.76648878644,40114.66893198097
zscore,"(0.5, -0.5, 0.5, 0.0, 1.0)",0.6556347796180925,0.08589917923808142,274382.7664887865,40114.66893198112
robust,"(0.5, 0.0, 1.0, 0.5, 0.5)",0.6550953855176775,0.11410424056209047,273284.35909573274,50959.235068327995
minmax,"(0.5, 0.0, 1.0, 0.5, 0.5)",0.6550953855176767,0.11410424056209172,273284.3590957331,50959.23506832842
zscore,"(0.5, 0.0, 1.0, 0.5, 0.5)",0.6550953855176765,0.11410424056209172,273284.3590957331,50959.23506832842
minmax,"(0.5, 0.0, 1.0, -1.0, 0.5)",0.6550590294003219,0.11168138898251778,273401.3579899816,50039.0619685132
zscore,"(0.5, 0.0, 1.0, -1.0, 0.5)",0.6550590294003212,0.11168138898251785,273401.3579899818,50039.0619685132
robust,"(0.5, 0.0, 1.0, -1.0, 0.5)",0.655059029400321,0.11168138898251798,273401.3579899818,50039.06196851324
minmax,"(0.0, 0.0, 0.5, 0.5, 1.0)",0.6549773151999749,0.103051615641398,273902.51589382085,46694.363799957944
zscore,"(0.0, 0.0, 0.5, 0.5, 1.0)",0.6549773151999748,0.10305161564139793,273902.51589382085,46694.363799957915
robust,"(0.0, 0.0, 0.5, 0.5, 1.0)",0.6549773151999748,0.10305161564139792,273902.51589382085,46694.3637999579
minmax,"(0.0, 0.0, 0.5, -1.0, 1.0)",0.6549398133836335,0.09994421040817841,274059.41054855747,45494.93999354833
zscore,"(0.0, 0.0, 0.5, -1.0, 1.0)",0.6549398133836324,0.09994421040817902,274059.41054855793,45494.93999354849
robust,"(0.0, 0.0, 0.5, -1.0, 1.0)",0.6549398133836323,0.09994421040817916,274059.41054855793,45494.93999354855
minmax,"(0.0, 0.5, 1.0, -1.0, 1.0)",0.6545653352638764,0.09396439794305184,274381.3390380706,43142.49764966208
zscore,"(0.0, 0.5, 1.0, -1.0, 1.0)",0.6545653352638757,0.09396439794305152,274381.3390380709,43142.49764966192
robust,"(0.0, 0.5, 1.0, -1.0, 1.0)",0.6545653352638757,0.09396439794305153,274381.3390380708,43142.497649661935
zscore,"(0.5, -0.5, 0.5, -0.5, 1.0)",0.6544072373465072,0.08512645450243245,274916.6550567565,39776.014378775515
minmax,"(0.5, -0.5, 0.5, -0.5, 1.0)",0.6544072373465072,0.0851264545024322,274916.6550567564,39776.01437877538
robust,"(0.5, -0.5, 0.5, -0.5, 1.0)",0.654407237346507,0.08512645450243228,274916.6550567565,39776.01437877543
minmax,"(0.5, 0.0, 0.0, -1.0, 1.0)",0.6540775403325833,0.10711360317318977,274169.05665205565,48231.21848927035
robust,"(0.5, 0.0, 0.0, -1.0, 1.0)",0.6540775403325821,0.10711360317319008,274169.0566520561,48231.218489270424
zscore,"(0.5, 0.0, 0.0, -1.0, 1.0)",0.654077540332582,0.10711360317318969,274169.05665205617,48231.21848927026
minmax,"(0.0, 0.0, 0.5, 1.0, 1.0)",0.6536899107381345,0.10499275979793728,274334.4658860219,47380.04263517509
zscore,"(0.0, 0.0, 0.5, 1.0, 1.0)",0.6536899107381342,0.10499275979793765,274334.46588602196,47380.04263517521
robust,"(0.0, 0.0, 0.5, 1.0, 1.0)",0.6536899107381341,0.10499275979793754,274334.465886022,47380.04263517518
robust,"(0.5, 0.0, 0.0, -0.5, 1.0)",0.653658651947012,0.10778873215542756,274309.4233834502,48467.78883797297
minmax,"(0.5, 0.0, 0.0, -0.5, 1.0)",0.6536586519470119,0.10778873215542778,274309.42338345025,48467.78883797302
zscore,"(0.5, 0.0, 0.0, -0.5, 1.0)",0.6536586519470119,0.10778873215542728,274309.4233834502,48467.78883797284
minmax,"(0.0, 0.5, 0.5, 1.0, 1.0)",0.6535797486997655,0.0857836046727069,275158.6671726005,39919.309626271395
robust,"(0.0, 0.5, 0.5, 1.0, 1.0)",0.6535797486997653,0.08578360467270722,275158.66717260063,39919.309626271526
zscore,"(0.0, 0.5, 0.5, 1.0, 1.0)",0.6535797486997653,0.08578360467270686,275158.6671726007,39919.30962627138
robust,"(0.5, 0.5, 0.5, 1.0, 1.0)",0.653377485937722,0.07813680181903254,275603.19807018054,37085.85311799323
minmax,"(0.5, 0.5, 0.5, 1.0, 1.0)",0.6533774859377219,0.0781368018190323,275603.1980701806,37085.853117993116
zscore,"(0.5, 0.5, 0.5, 1.0, 1.0)",0.6533774859377216,0.07813680181903256,275603.1980701807,37085.8531179932
robust,"(1.0, -0.5, 0.5, 0.0, 1.0)",0.653233291404387,0.08576067597787394,275421.6389554131,40068.67504302933
minmax,"(1.0, -0.5, 0.5, 0.0, 1.0)",0.653233291404387,0.08576067597787389,275421.638955413,40068.67504302933
zscore,"(1.0, -0.5, 0.5, 0.0, 1.0)",0.6532332914043869,0.08576067597787423,275421.6389554131,40068.675043029456
minmax,"(1.0, -0.5, 0.5, -0.5, 1.0)",0.6531780341063955,0.08447143752178626,275492.83939321997,39578.050202085295
robust,"(1.0, -0.5, 0.5, -0.5, 1.0)",0.6531780341063955,0.08447143752178637,275492.83939321997,39578.050202085324
zscore,"(1.0, -0.5, 0.5, -0.5, 1.0)",0.6531780341063954,0.08447143752178643,275492.83939322,39578.05020208536
robust,"(0.5, 0.0, 1.0, 1.0, 0.5)",0.6531572125026613,0.11595277984314359,273985.96113086754,51565.84578428019
minmax,"(0.5, 0.0, 1.0, 1.0, 0.5)",0.6531572125026607,0.11595277984314456,273985.96113086777,51565.84578428054
zscore,"(0.5, 0.0, 1.0, 1.0, 0.5)",0.6531572125026607,0.11595277984314466,273985.96113086777,51565.845784280544
zscore,"(0.0, 0.5, 0.5, 0.5, 1.0)",0.6529897708565259,0.08611009748780347,275389.5435274867,40026.91499233005
minmax,"(0.0, 0.5, 0.5, 0.5, 1.0)",0.6529897708565254,0.08611009748780422,275389.5435274868,40026.914992330334
robust,"(0.0, 0.5, 0.5, 0.5, 1.0)",0.6529897708565251,0.08611009748780427,275389.54352748697,40026.914992330334
minmax,"(0.5, 0.0, 0.0, 0.0, 1.0)",0.6526551315329038,0.10882043030396164,274668.84539855004,48808.44847263139
zscore,"(0.5, 0.0, 0.0, 0.0, 1.0)",0.6526551315329036,0.10882043030396155,274668.8453985501,48808.44847263135
robust,"(0.5, 0.0, 0.0, 0.0, 1.0)",0.6526551315329033,0.10882043030396192,274668.84539855015,48808.448472631455
robust,"(1.0, -0.5, 0.5, 0.5, 1.0)",0.652547725004131,0.08751408062753513,275629.83839050937,40702.20239805497
minmax,"(1.0, -0.5, 0.5, 0.5, 1.0)",0.6525477250041308,0.08751408062753488,275629.8383905094,40702.20239805484
zscore,"(1.0, -0.5, 0.5, 0.5, 1.0)",0.6525477250041308,0.0875140806275349,275629.83839050937,40702.20239805485
zscore,"(0.5, 0.5, 0.5, 0.5, 1.0)",0.6523831866527753,0.07841144319067561,276003.7998905752,37176.53061290824
robust,"(0.5, 0.5, 0.5, 0.5, 1.0)",0.6523831866527751,0.07841144319067603,276003.7998905753,37176.53061290836
minmax,"(0.5, 0.5, 0.5, 0.5, 1.0)",0.6523831866527751,0.07841144319067578,276003.79989057523,37176.53061290828
zscore,"(1.0, -0.5, 0.5, -1.0, 1.0)",0.6523359041114681,0.08366426521557123,275860.884992378,39233.38742855636
minmax,"(1.0, -0.5, 0.5, -1.0, 1.0)",0.652335904111468,0.08366426521557109,275860.884992378,39233.3874285563
robust,"(1.0, -0.5, 0.5, -1.0, 1.0)",0.6523359041114679,0.08366426521557142,275860.884992378,39233.38742855641
minmax,"(0.5, -0.5, 0.5, -1.0, 1.0)",0.6523089231096312,0.08500180996500901,275773.34394451417,39649.02122258776
zscore,"(0.5, -0.5, 0.5, -1.0, 1.0)",0.652308923109631,0.08500180996500895,275773.3439445142,39649.02122258769
robust,"(0.5, -0.5, 0.5, -1.0, 1.0)",0.6523089231096307,0.08500180996500921,275773.34394451434,39649.02122258778
zscore,"(0.5, 0.5, -0.5, 0.5, 1.0)",0.6522073609057407,0.08597782798242118,275847.97418519255,40158.893175601326
minmax,"(0.5, 0.5, -0.5, 0.5, 1.0)",0.6522073609057407,0.08597782798242203,275847.97418519255,40158.89317560166
robust,"(0.5, 0.5, -0.5, 0.5, 1.0)",0.6522073609057405,0.08597782798242153,275847.97418519267,40158.89317560145
minmax,"(0.5, 0.5, -0.5, 0.0, 1.0)",0.6521537860489208,0.08601788218411333,275872.1304435082,40183.30370153796
zscore,"(0.5, 0.5, -0.5, 0.0, 1.0)",0.6521537860489208,0.0860178821841121,275872.1304435082,40183.3037015375
robust,"(0.5, 0.5, -0.5, 0.0, 1.0)",0.6521537860489207,0.08601788218411231,275872.1304435082,40183.30370153756
minmax,"(0.0, 0.5, 0.5, 0.0, 1.0)",0.6519116798286911,0.08692734060026862,275800.2542435324,40306.853847048515
robust,"(0.0, 0.5, 0.5, 0.0, 1.0)",0.6519116798286909,0.08692734060026833,275800.2542435325,40306.85384704839
zscore,"(0.0, 0.5, 0.5, 0.0, 1.0)",0.6519116798286908,0.08692734060026878,275800.2542435325,40306.853847048566
robust,"(0.5, 0.5, -0.5, 1.0, 1.0)",0.6519114072631177,0.08643492745829627,275947.1246123593,40310.91270782246
minmax,"(0.5, 0.5, -0.5, 1.0, 1.0)",0.6519114072631172,0.08643492745829871,275947.12461235933,40310.91270782337
zscore,"(0.5, 0.5, -0.5, 1.0, 1.0)",0.6519114072631171,0.08643492745829764,275947.1246123594,40310.91270782297
minmax,"(0.5, 0.5, -0.5, -0.5, 1.0)",0.6517002860709921,0.08666171006562487,276035.87661900866,40421.711894992506
zscore,"(0.5, 0.5, -0.5, -0.5, 1.0)",0.6517002860709921,0.08666171006562406,276035.8766190087,40421.711894992215
robust,"(0.5, 0.5, -0.5, -0.5, 1.0)",0.6517002860709921,0.08666171006562406,276035.8766190088,40421.71189499221
zscore,"(0.5, 0.5, 0.5, 0.0, 1.0)",0.6512028660822882,0.07892546772432951,276470.73950548813,37352.711924743686
minmax,"(0.5, 0.5, 0.5, 0.0, 1.0)",0.6512028660822878,0.07892546772432976,276470.7395054882,37352.71192474378
robust,"(0.5, 0.5, 0.5, 0.0, 1.0)",0.6512028660822878,0.07892546772432965,276470.73950548825,37352.71192474373
